run_id,stress_GPa,SlFin_MPa,SlFin_pt_MPa,VtiSat,IdSat_norm,SSSat,Ioff_norm
G60_F0,-2.73,-2730,-4193,-0.388,6.056e-04,247.660,4.070e-10
G60_F10,-2.948,-2948,-4223,-0.377,6.631e-04,159.694,5.281e-10
G60_F20,-3.03,-3030,-4185,-0.366,6.950e-04,130.530,1.245e-09
G60_F30,-3.04,-3040,-4089,-0.353,6.999e-04,215.392,2.064e-08
G60_F35,-3.03,-3030,-4038,-0.346,7.007e-04,292.164,8.000e-08
G70_F0,-3.21,-3210,-4921,-0.380,6.324e-04,315.716,6.006e-10
G70_F10,-3.462,-3462,-4952,-0.369,6.935e-04,188.087,7.653e-10
G70_F20,-3.553,-3553,-4902,-0.360,7.250e-04,139.528,1.541e-09
G70_F30,-3.56,-3560,-4787,-0.348,7.281e-04,207.292,1.728e-08
G70_F35,-3.547,-3547,-4726,-0.343,7.280e-04,283.082,6.250e-08
