run_id,stress_GPa,SlFin_MPa,SlFin_pt_MPa,VtiSat,IdSat_norm,SSSat,Ioff_norm
G40_F0,-1.801,-1801,-2787,-0.414,5.141e-04,120.668,1.304e-10
G40_F10,-1.956,-1956,-2814,-0.403,5.615e-04,106.763,2.067e-10
G40_F20,-2.018,-2018,-2797,-0.392,5.909e-04,118.191,7.468e-10
G40_F30,-2.03,-2030,-2739,-0.375,5.992e-04,234.509,2.345e-08
G40_F35,-2.026,-2026,-2707,-0.365,6.019e-04,318.474,1.045e-07
G30_F0,-1.346,-1346,-2115,-0.422,4.723e-04,105.125,1.065e-10
G30_F10,-1.471,-1471,-2139,-0.411,5.148e-04,102.791,1.819e-10
G30_F20,-1.523,-1523,-2130,-0.399,5.427e-04,119.984,7.292e-10
G30_F30,-1.536,-1536,-2088,-0.381,5.521e-04,244.884,2.667e-08
G30_F35,-1.533,-1533,-2065,-0.369,5.555e-04,333.566,1.226e-07
